ActivityContext,ACT_CONTEXT
PerformedObservationResult_ReportVersion_XREF,PRFOR_RPT_VER_XREF
PerformedObservationResultResultClassificationCode,PRFOR_RSLT_CLS_CDE
PerformedObservationResultValue,PRFOR_VAL
PerformedProcedure,PERF_PROC
PerformedProcedureNonReasonCode,PERF_PROC_NON_RSN_CDE
PerformedProductTransport,PERF_PROD_TRANSPORT
PerformedSpecimenCollection,PERF_SPEC_COLL
PerformedStudyAdministrativeActivity,PERF_SA_ACT
PerformedStudySubjectMilestone,PSS_MSTN
PerformedStudySubjectMilestoneOffStudyReasonCode,PSS_MSTN_OFF_STDY_RSN_CDE
PerformedSubjectMilestone,PER_SUBJ_MSTN
PerformedSubstanceAdministration,PERF_SUBST_ADM
PerformedSubstanceAdministration_PerformedMedicalConditionResult_XREF,PRF_SA_PRFMC_RSLT_XREF
PerformedSubstanceExtraction,PERF_SUBST_EXTRCTN
PerformedTransplantation,PERF_TXN
PerformerPostalAddress,PERFMR_PSTL_ADD
PerformerTelecomAddress,PERFMR_TEL_ADD
PerformingLaboratory,PERFMG_LBRTRY
Person,PERSN
PersonEthnicGroupCode,PERSN_ETHN_GRP_CDE
PersonPostalAddress,PERSN_PSTL_ADD
PersonRaceCode,PERSN_RACE_CDE
PersonTelecomAddress,PERSN_TEL_ADD
PlaceIdentifier,PLC_ID
PlacePhysicalAddress,PLC_PHY_ADD
PlannedActivity,PLAN_ACT
PlannedActivity_PerformedActivity_XREF,PLAN_ACT_PERF_ACT_XREF
PlannedCompositionRelationship,PLAN_COMP_RLTN
Place,PLC
Processor,PROC
Processor_Distributor_XREF,PROC_DISTR_XREF
Processor_ProcessingSite_XREF,PROC_PROC_STE_XREF
ProcessedProduct,PROC_PROD
ProcessingSite,PROC_STE
Product,PROD
Product_DefinedProcedure_XREF,PROD_DFND_PROC_XREF
Product_Distributor_XREF,PROD_DISTR_XREF
Product_PerformedProcedure_XREF,PROD_PERF_PROC_XREF
Product_ProcessingSite_XREF,PROD_PROC_STE_XREF
ProductClassCode,PROD_CLSS_CDE
ProductRelationship,PROD_RLTN
ProductRelationshipConfidentialityCode,PROD_RLTN_CON_CDE
ReferenceResult,REF_RSLT
ReferenceResultValue,REF_RSLT_VAL
RegulatoryApplication,REGLTRY_APP
ReportReceiver,RPT_RECEIVER
ReportVersion,RPT_VER
ScheduledActivity,SCHED_ACT
ScheduledSubstanceAdministration,SCHED_SUBST_ADM
Specimen,SPEC
SpecimenConditionCode,SPEC_COND_CDE
StudyAgent,STDY_AGT
StudyAgentFirstInHumanRiskFactorCode,STDY_AGT_FST_INHMN_RF_CDE
StudyLegalSponsor,STDY_LGL_SPNSR
StudyProtocolDocument,STDY_PRTCL_DOC
StudyProtocolDocumentVersion,STDY_PRTCL_DOC_VER
StudyProtocolVersion,SPV
StudyProtocolVersionParticipatingLocationCode,SPV_PRTCP_LOCN_CDE
StudyProtocolVersionTargetAnatomicSiteCode,SPV_TAS_CDE
StudyRegistry,STDY_REGISTRY
StudySite,STDY_STE
StudySite_OversightCommittee_XREF,STDY_STE_OVRST_COMM_XREF
StudySiteOversightStatus,STDY_STE_OVRST_STS
StudySitePersonnel,STDY_STE_PERSNL
StudySitePersonnelPostalAddress,STDY_STE_PERSNL_PSTL_ADD
StudySitePersonnelTelecomAddress,STDY_STE_PERSNL_TEL_ADD
StudySiteProtocolVersionRelationship,STDY_STE_PRTCLV_RLTN
StudySubject,STDY_SUBJ
StudySubjectProtocolVersionRelationship,STDY_SUBJ_PRTCLV_RLTN
Subject,SUBJ
SubjectIdentifier,SUBJ_ID
Submission,SUBM
SubstanceExtractionAdministrationRelationship,SUBST_EXTRACT_ADM_RLTN
TargetAnatomicSite,TAS
abnormalIndicator,ABNORMAL_IND
absoluteproductDoseUnits,ABS_PROD_DSE_UNT
absoluteproductDoseValue,ABS_PROD_DSE_VAL
accessionNumberText,ACCESSION_NBR_TXT
accrualReportingMethodCode,ACCR_RPTG_METHOD_CDE
accrualStatusCode,ACCR_STS_CDE
accrualStatusDate,ACCR_STS_DTE
acronym,ACR
actionModeCode,ACTION_MODE_CDE
activeIngredientDoseDescription,AI_DSE_DESC
activeIngredientDoseUnits,AI_DSE_UNT
activeIngredientDoseValue,AI_DSE_VAL
activeIngredientIndicator,AI_IND
ActivityContextID,ACT_CONTEXT_ID
actualIndicator,ACTUAL_IND
adaptiveDesignIndicator,ADAPTIVE_DESIGN_IND
addressType,ADD_TYP
administrativeGenderCode,ADM_GENDER_CDE
S,AE_CAUSAL_RLTN_ID
AdverseEventID,AE_ID
AdverseEventOutcomeAssessmentID,AE_OUTCOME_ASSMNT_ID
aeCodingSystem,AE_CODING_SYS
agentAdministrationCareSettingTypeCode,AGT_ADM_CRSTG_TYP_CDE
ageUnits,AGE_UNT
ageValue,AGE_VAL
amendmentGracePeriodUnits,AMENDMENT_GRACE_PER_UNT
amendmentGracePeriodValue,AMENDMENT_GRACE_PER_VAL
appearanceTypeCode,APPEARANCE_TYP_CDE
approachAnatomicSiteCode,AAS_CDE
approachAnatomicSiteLateralityCode,AAS_LTRLTY_CDE
asCollectedIndicator,AS_COLL_IND
availableForEvaluationIndicator,AVAIL_FOR_EVAL_IND
baselineIndicator,BASELINE_IND
bibliographicDesignation,BIBLIOGRAPHIC_DESIGNATION
BiologicDrugID,BIOL_DRG_ID
BiologicEntityID,BIOL_ENT_ID
BiologicEntityNameID,BIOL_ENT_NME_ID
BiologicID,BIOL_ID
biomarkerIndicator,BIOM_IND
birthCountryCode,BIRTH_CNTRY_CDE
birthDate,BIRTH_DTE
birthOrder,BIRTH_ORDER
blindedDescription,BLINDED_DESC
blindedName,BLINDED_NME
bodyPositionCode,BODY_POSITION_CDE
bodySystemCode,BODY_SYS_CDE
breedCode,BREED_CDE
capacityQuantityUnits,CAPACITY_QUANT_UNT
capacityQuantityValue,CAPACITY_QUANT_VAL
capTypeCode,CAP_TYP_CDE
categoryCode,CAT_CDE
CausalAssessmentID,CSL_ASSMNT_ID
ceMarkIndicator,CE_MARK_IND
changeReason,CHGE_RSN
changeTypeCode,CHGE_TYP_CDE
characteristicModifiedIndicator,CHAR_MODIFIED_IND
checkpointCode,CHECKPOINT_CDE
city,CITY
clinicallySignificantIndicator,CLIN_SIGNIFICANT_IND
code,CDE
codeModifiedText,CDW_MODIFIED_TXT
codeValue,CDE_VAL
comment,COMMENT
communicationModeCode,COMM_MDE_CDE
companionCode,COMPANION_CDE
completionRequiredBeforeStartingIndicator,COMPL_REQ_BFR_STRT_IND
componentPerformedActivityID,COMPNT_PERF_ACT_ID
componentPlannedActivityID,COMPNT_PLAN_ACT_ID
compositePerformedActivityID,COMPST_PERF_ACT_ID
compositePlannedActivityID,COMPST_PLAN_ACT_ID
conditionCodingSystem,COND_CODING_SYS
confidentialityCode,CONF_CDE
confidentialityIndicator,CONF_IND
contactAnatomicSiteCode,CONTACT_ANATOM_STE_CDE
ContainedPlaceID,CONT_PLC_ID
ContainerID,CONT_ID
contingentDefinedActivityID,CONTGNT_DFND_ACT_ID
contrastAgentEnhancementIndicator,CONTRAST_AGT_ENHANC_IND
country,COUNTRY
createdDate,CREATED_DTE
date,DTE
dateRangeValidationCode,DTE_RGE_VALIDTN_CDE
deathDate,DEATH_DTE
deathDateEstimatedIndicator,DEATH_DTE_ESTIMATED_IND
deathIndicator,DEATH_IND
DefinedActivityID,DFND_ACT_ID
DefinedEligibilityCriterionID,DFND_ELIG_CRITER_ID
DefinedImagingID,DFND_IMG_ID
DefinedMaterialProcessStepID,DFND_MAT_PROC_STEP_ID
DefinedMaterialStorageID,DEFINEDMATERIALSTORAGEID
DefinedMedicalConditionResultID,DFND_MED_COND_RSLT_ID
DefinedObservationID,DFND_OBSERV_ID
DefinedObservationResultID,DFND_OBSVRSLT_ID
DefinedProcedureID,DFND_PROC_ID
DefinedSpecimenCollectionID,DFND_SPEC_COLL_ID
DefinedStudyAdministrativeActivityID,DFND_SA_ACT_ID
DefinedStudySubjectMilestoneID,DFND_STDY_SUBJ_MSTN_ID
DefinedSubjectActivityGroupID,DFND_SUBJ_ACT_GRP_ID
DefinedSubstanceAdministrationID,DFND_SUBST_ADM_ID
delayDurationUnits,DELAY_DURN_UNT
delayDurationValue,DELAY_DURN_VAL
delayedRegistryPostingIndicator,DELAYED_REG_POSTING_IND
derivationExpression,DERIVATION_EXPRESSION
description,DESC
designConfigurationCode,DESIGN_CONFIG_CDE
DeviceID,DVC_ID
dimensionOneCapacity,DIM_ONE_CAPACITY
dimensionOneLabel,DIM_ONE_LABEL
dimensionPointOfOrigin,DIM_POINT_OF_ORIGIN
dimensionProductUnits,DIM_PROD_UNT
dimensionProductValue,DIM_PROD_VAL
dimensionThreeCapacity,DIM_THREE_CAPACITY
dimensionThreeLabel,DIM_THREE_LABEL
dimensionTwoCapacity,DIM_TWO_CAPACITY
dimensionTwoLabel,DIM_TWO_LABEL
direction,DIRECTION
diseaseStatusCode,DIS_STS_CDE
diseaseStatusMissingReasonCode,DIS_STS_MISSING_RSN_CDE
distinctProductCount,DISTINCT_PROD_COUNT
DistributorID,DISTR_ID
DocumentID,DOC_ID
DocumentVersionID,DOC_VER_ID
DonorRegistryID,DNR_REGISTRY_ID
donorTypeCode,DNR_TYP_CDE
doseFrequencyCode,DSE_FREQUENCY_CDE
dosePeriodCode,DSE_PER_CDE
doseRegimen,DSE_REGIMEN
DrugID,DRG_ID
dueDate,DUE_DTE
duration,DURN
durationUnits,DURN_UNT
durationValue,DURN_VAL
educationLevelCode,EDUCATION_LEVEL_CDE
effectiveEndDate,EFFECTIVE_END_DTE
effectiveStartDate,EFFECTIVE_START_DTE
endDate,END_DTE
endRelativeToReferenceCode,END_RELATIVE_TO_REF_CDE
enhancementDescription,ENHANC_DESC
enhancementRateDenominatorUnits,ENHANC_RATE_DENOM_UNT
enhancementRateDenominatorValue,ENHANC_RATE_DENOM_VAL
enhancementRateNumerator,ENHANC_RATE_NUM
expandedAccessIndicator,EXPANDED_ACCESS_IND
expectedIndicator,EXPECTED_IND
ExperimentalUnitID,EXPERIMENTAL_UNT_ID
expirationDate,EXPIRATION_DTE
fastingStatusIndicator,FASTING_STS_IND
fax,FAX
firstBiologicEntityID,FST_BIOL_ENT_ID
firstDefinedActivityID,FST_DFND_ACT_ID
firstInHumanIndicator,FST_IN_HMN_IND
firstName,FST_NME
firstProductID,FST_PROD_ID
flowRateUnits,FLOW_RATE_UNT
focalDurationUnits,FOCAL_DURN_UNT
focalDurationValue,FOCAL_DURN_VAL
focalEndDate,FOCAL_END_DTE
focalStartDate,FOCAL_START_DTE
formCode,FORM_CDE
functionCode,FUNCTION_CDE
gradeCode,GRADE_CDE
handlingCode,HANDLING_CDE
highlightedIndicator,HIGHLIGHTED_IND
hospitalizationRequiredIndicator,HOSPITALIZATION_REQRD_IND
houseNumber,HOUSE_NBR
idealEndDate,IDEAL_END_DTE
idealStartDate,IDEAL_START_DTE
identifier,ID
identifierCode,ID_CDE
infectiousAgent,INFECTIOUS_AGT
informedConsentDate,INFORMED_CONSENT_DTE
informedConsentIndicator,INFORMED_CONSENT_IND
initials,INITIALS
interruptibleIndicator,INTERRUPTIBLE_IND
interruptionDurationUnits,INTERRUPTION_DURN_UNT
interruptionDurationValue,INTERRUPTION_DURN_VAL
intervalEnd,INTERVAL_END
intervalStart,INTERVAL_START
joinCode,JOIN_CDE
languageCode,LANGUAGE_CDE
lastName,LAST_NME
leadIndicator,LEAD_IND
lesionNumber,LSN_NBR
locationDescription,LOCN_DESC
lotNumberText,LOT_NBR_TXT
mandatoryIndicator,MANDATORY_IND
manufactureDate,MNFCTR_DTE
ManufacturerID,MNFCTR_ID
maritalStatusCode,MARITAL_STS_CDE
MaterialID,MAT_ID
MaterialNameID,MAT_NME_ID
measurableIndicator,MEASURABLE_IND
medicalHistoryIndicator,MED_HISTORY_IND
methodCode,METHOD_CDE
missingIdentifierReasonCode,MISSING_ID_RSN_CDE
mobile,MOBILE
multiInstitutionIndicator,MULTI_NSTITUTION_IND
name,NME
nameCode,NME_CDE
nameCodeModifiedText,NME_CDE_MODIFIED_TXT
negationIndicator,NEGATION_IND
normalRangeComparisonCode,NORMAL_RGE_CMPR_CDE
numberText,NBR_TXT
occupationEndDate,OCCUPATION_END_DTE
occupationStartDate,OCCUPATION_START_DTE
occurrenceDateRangeValidationCode,OCCUR_DTE_RGE_VALIDTN_CDE
occurrenceEndDate,OCCUR_END_DTE
occurrencePatternCode,OCCUR_PATTERN_CDE
occurrenceStartDate,OCCUR_START_DTE
officialTitle,OFFICIAL_TITLE
offStudyDate,OFF_STDY_DTE
OrganizationID,ORG_ID
OrganizationNameType,ORG_NME_TYP
OversightCommitteeID,OVRST_COMM_ID
overTheCounterProductIndicator,OTC_PROD_IND
participatingOrganizationTypeCode,PARTICIPATING_ORG_TYP_CDE
pauseQuantityRangeEnd,PAUSE_QUANT_RGE_END
pauseQuantityRangeUnits,PAUSE_QUANT_RGE_UNT
pauseQuantityRangeValue,PAUSE_QUANT_RGE_VAL
paymentMethodCode,PAYMENT_METHOD_CDE
pediatricFormulationIndicator,PEDIATRIC_FORMULATION_IND
Per_PerformedObservationID,PERF_PERF_OBSERV_ID
PerformedActivityID,PERF_ACT_ID
PerformedAdministrativeActivityID,PERF_ADM_ACT_ID
PerformedAfterCoreActivityID,PERF_AFTER_CRE_ACT_ID
PerformedBeforeCoreActivityID,PERF_BFR_CRE_ACT_ID
PerformedCellularTherapyID,PERF_CELL_THER_ID
PerformedClinicalIntepretationID,PERF_CLIN_INTERP_ID
PerformedClinicalResultID,PERF_CLIN_RSLT_ID
PerformedDiagnosisID,PERF_DIAG_ID
PerformedDuringCoreActivityID,PERF_DURING_CRE_ACT_ID
PerformedImagingID,PERF_IMG_ID
PerformedLesionDescriptionID,PERF_LSN_DESC_ID
PerformedMaterialProcessStepID,PERF_MAT_PROC_STEP_ID
PerformedMaterialStorageID,PERF_MAT_STRG_ID
PerformedMedicalConditionResultID,PRFMC_RSLT_ID
PerformedObservationID,PERF_OBSERV_ID
PerformedObservationResultID,PERF_OBSVRSLT_ID
PerformedProcedureID,PERF_PROC_ID
PerformedProductTransportID,PERF_PROD_TRANS_ID
PerformedSpecimenCollectionID,PERF_SPEC_COLL_ID
PerformedStudyAdministrativeActivityID,PERF_SA_ACT_ID
PerformedStudySubjectMilestoneID,PSS_MSTN_ID
PerformedSubjectMilestoneID,PERF_SUBJ_MSTN_ID
PerformedSubstanceAdministrationID,PERF_SUBST_ADM_ID
PerformedSubstanceExtractionID,PERF_SUBST_EXTR_ID
PerformedTransplantationID,PERF_TXN_ID
PerformingLaboratoryID,PERF_LBRTRY_ID
PerformerPostelAddress,PERF_PSTL_ADD
periodActiveIngredientDoseTotalUnits,PER_AI_DSE_TOT_UNT
periodActiveIngredientDoseTotalValue,PER_AI_DSE_TOT_VAL
periodicTargetAccrualNumberDenominatorUnits,PER_TAN_DENOM_UNT
periodicTargetAccrualNumberDenominatorValue,PER_TAN_DENOM_VAL
periodicTargetAccrualNumberNumerator,PER_TAN_NUM
periodProductDoseTotalUnits,PER_PROD_DSE_TOT_UNT
periodProductDoseTotalValue,PER_PROD_DSE_TOT_VAL
phaseCode,PHASE_CDE
phone,PHONE
PhysicalAddressID,PHY_ADD_ID
physicianSignOffIndicator,PHYSCN_SIGN_OFF_IND
PlaceID,PLC_ID
PlannedActivityID,PLAN_ACT_ID
plannedChangeIndicator,PLAN_CHG_ID
plannedDurationUnits,PLAN_DURN_UNT
plannedDurationValue,PLAN_DURN_VAL
plannedSiteNumberRange,PLAN_STE_NBR_RGE
plannedSiteNumberRangeEnd,PLAN_STE_NBR_RGE_END
plannedStudySubjectExperience,PLAN_STDY_SUBJ_EXPERIENCE
populationDescription,POP_DESC
populationScopeCode,POP_SCOPE_CDE
PostalAddressID,PSTL_ADD_ID
postalCode,PSTL_CDE
postReportUpdateDate,POST_RPT_UPDATE_DTE
pre1938Indicator,PRE_1938_IND
prefix,PREFIX
prerequisiteDefinedActivityID,PREREQ_DFND_ACT_ID
prerequisiteDefinedObservationResultID,PREREQ_DFND_OBSVRSLT_ID
primaryIndicator,PRIM_IND
primaryOccupationCode,PRIM_OCCUPATION_CDE
primaryPurposeTypeCode,PRIM_PURPOSE_TYP_CDE
priorityNumber,PRIORITY_NBR
probabilityCode,PROB_CDE
probabilityPercent,PROB_PCT
ProcessingSiteID,PROC_STE_ID
ProcessorID,PROC_ID
productDoseDescription,PROD_DSE_DESC
productDoseUnits,PROD_DSE_UNT
productDoseValue,PROD_DSE_VAL
ProductID,PROD_ID
publicDescription,PUBLIC_DESC
publicTitle,PUBLIC_TITLE
purpose,PURPOSE
purposeStatement,PURPOSE_STMT
quantity,QUANT
receiptDate,RECEIPT_DTE
receivedDate,RCVD_DATE
receivedIndicator,RCVD_IND
recurrenceIndicator,RECUR_IND
ReferenceResultID,REF_RSLT_ID
referenceTypeCode,REF_TYP_CDE
registrationDate,REGSTRN_DTE
relationCode,RELATION_CDE
relativeproductDoseUnits,REL_PROD_DSE_UNT
relativeproductDoseValue,REL_PROD_DSE_UNT_VAL
repeatDuration,REP_DURN
repeatDurationUnits,REP_DURN_UNT
repeatDurationValue,REP_DURN_VAL
repeatFrequencyCode,REP_FREQ_CDE
repeatFrequencyRatioDenominatorUnits,REP_FREQ_RATIO_DENOM_UNT
repeatFrequencyRatioDenominatorValue,REP_FREQ_RATIO_DENOM_VAL
repeatFrequencyRatioNumerator,REP_FREQ_RATIO_NUM
repeatQuantityRange,REP_QUANT_RGE
repeatQuantityRangeEnd,REP_QUANT_RGE_END
repetitionNumber,RPTN_NBR
reportedDate,RPTD_DTE
ReportReceiver,RPT_RCVR
ReportReceiverID,RPT_RCVR_ID
ReportVersionID,RPT_VER_ID
reprocessedDeviceCode,REPROC_DVC_CDE
reproductiveOrgansPresentIndicator,REPR_ORGANS_PRESENT_IND
responsiblePartyCode,RESPONSIBLE_PARTY_CDE
returnedToReprocessorDate,RETURNED_TO_REPROC_DTE
reviewBoardApprovalNumberText,RB_APPROVAL_NBR_TXT
reviewBoardProcessCode,RB_PROC_CDE
reviewBoardProcessDate,RB_PROC_DTE
riskCode,RISK_CDE
roleCode,ROLE_CDE
routeOfAdministrationCode,ROA_CDE
ScheduledActivityID,SCHED_ACT_ID
ScheduledSubstanceAdministrationID,SCHED_SUBST_ADM_ID
scientificDescription,SCIENTIFIC_DESC
secondBiologicEntityID,SECOND_BIOL_ENT_ID
secondDefinedActivityID,SECOND_DFND_ACT_ID
secondProductID,SECOND_PROD_ID
sequenceNumber,SEQ_NBR
severityCode,SEV_CDE
sexGenotypeCode,SEX_GENOTYPE_CDE
singleUseDeviceIndicator,SINGLE_USE_DVC_IND
sourceOrganizationID,SRC_ORG_ID
sourceProductID,SRC_PROD_ID
speciesCode,SPS_CDE
SpecimenID,SPEC_ID
stabilityDurationEndDate,STABILITY_DURN_END_DTE
stabilityDurationStartDate,STABILITY_DURN_START_DTE
standardTimeIndicator,STD_TIME_IND
startDate,START_DTE
startRelativeToReferenceCode,START_REL_TO_REF_CDE
statusChangeReasonCode,STS_CHG_RSN_CDE
statusCode,STS_CDE
statusDate,STS_DTE
strain,STRAIN
streetName,STREET_NME
StudyAgentID,STDY_AGT_ID
studyEndDay,STDY_END_DAY
studyFocusIndicator,STDY_FOCUS_IND
StudyLegalSponsorID,STDY_LGL_SPONSOR_ID
StudyProtocolDocumentID,STDY_PRTCL_DOC_ID
StudyProtocolDocumentVersionID,STDY_PRTCL_DOC_VER_ID
StudyProtocolVersionID,SPV_ID
studyReferenceEndDate,STDY_REF_ENDDATE
studyReferenceStartDate,STDY_REF_STARTDATE
StudyRegistry,STDY_REG
StudyRegistryID,STDY_REG_ID
studySchematic,STDY_SCHEMATIC
StudySiteID,STDY_STE_ID
StudySiteOversightStatusID,STDY_STE_OVRST_STS_ID
StudySitePersonnelID,STDY_STE_PERSNL_ID
StudySiteProtocolVersionRelationshipID,STDY_STE_PRTCLV_RLTN_ID
studyStartDay,STDY_START_DAY
StudySubjectID,STDY_SUBJ_ID
studySubjectTypeCode,STDY_SUBJ_TYP_CDE
subcategoryCode,SUBCAT_CDE
subgroupCode,SUBGRP_CDE
SubjectID,SUBJ_ID
SubmissionID,SUBMISSION_ID
substanceUnknownIndicator,SUBST_UNKNOWN_IND
substitutionAllowedIndicator,SUBSTITUTION_ALLOWED_IND
suffix,SUFFIX
summary,SMMRY
targetAccrualNumberRange,TAN_RGE
targetAccrualNumberRangeEnd,TAN_RGE_END
targetAnatomicSiteCode,TAS_CDE
targetAnatomicSiteConditionCode,TAS_COND_CDE
TargetAnatomicSiteID,TAS_ID
targetAnatomicSiteLateralityCode,TAS_LATERALITY_CDE
targetBiomarkerCode,TRGT_BIOM_CDE
targetCodingSystem,TRGT_CDING_SYS
targetOrganizationID,TRGT_ORG_ID
targetProductID,TRGT_PROD_ID
TelecomAddressID,TEL_ADDR_ID
telecomType,TEL_TYP
temperatureRangeEndValue,TEMP_RGE_END_VAL
temperatureRangeStartValue,TEMP_RGE_START_VAL
temperatureRangeUnits,TEMP_RGE_UNT
therapeuticAreaCode,THER_AREA_CDE
toxicityGradeCode,TOXIC_GRD_CDE
toxicityTermCode,TOXIC_TERM_CDE
treatmentEmergentIndicator,TX_EMERGENT_IND
treatmentVehicleQuantityUnits,TX_VEHICLE_QUANT_UNT
treatmentVehicleQuantityValue,TX_VEHICLE_QUANT_VAL
typeCode,TYP_CDE
uncertaintyCode,UNCRTNTY_CDE
uniformResourceLocator,UNIF_RSRC_LOCATOR
unitofMeasure,UNT_OF_MSR
valueCodeModifiedText,VAL_CDE_MOD_TXT
valueNegationIndicator,VAL_NEGATION_IND
valueNullFlavorReason,VAL_NULL_FLVR_RSN
valueReal,VAL_REAL
valueString,VAL_STRING
valueTypeCode,VAL_TYP_CDE
varianceTypeCode,VAR_TYP_CDE
xDimensionUnits,XDIM_UNT
xDimensionValue,XDIM_VAL
yDimensionUnits,YDIM_UNT
yDimensionValue,YDIM_VAL
zDimensionUnits,ZDIM_UNT
zDimensionValue,ZDIM_VAL
